"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",281,31.2,8.6,238,325,135,122,153,1,2,1,1,"1",3.01,64.5,58
"2","Austin Ekeler","RB","LAC",273,19.4,25.6,239,297,126,122,125,2,1,6,2,"2",5.09,59.8,4
"3","Travis Kelce","TE","KC",235,17.2,61.4,217,262,126,120,126,3,3,4,1,"1",7.08,57.4,17
"4","Justin Jefferson","WR","MIN",274,28.1,10.6,235,310,116,99.1,130,4,7,2,1,"1",1.96,64.5,52
"5","Ja'Marr Chase","WR","CIN",263,25.9,5.56,226,306,106,90.3,126,5,13,3,2,"1",4.69,59.9,45
"6","Patrick Mahomes","QB","KC",431,13,4.46,419,456,103,116,111,6,4,8,1,"1",14.5,42.1,1
"7","Saquon Barkley","RB","NYG",247,27.5,2.41,219,289,101,102,117,7,6,7,3,"2",10.4,51.7,45
"8","Cooper Kupp","WR","LAR",258,23.3,4.62,226,286,100,90,107,8,14,10,3,"1",9.02,53.4,38
"9","Josh Allen","QB","BUF",427,27.9,7.88,393,470,98.8,90.6,125,9,11,5,2,"1",19.4,37,26
"10","Nick Chubb","RB","CLE",245,25,0.563,212,277,98.3,95.6,105,10,9,11,4,"2",10.6,52.3,31
"11","Derrick Henry","RB","TEN",244,14.1,1.76,220,259,97.8,104,86.9,11,5,18,5,"2",14.4,48.4,1
"12","Tony Pollard","RB","DAL",242,24.9,3.78,207,279,96,90.3,108,12,12,9,6,"2",15.1,46.1,32
"13","Tyreek Hill","WR","MIA",253,18.1,12.6,222,273,95.6,86.8,93.2,13,15,14,4,"2",8.15,55.5,8
"14","Josh Jacobs","RB","LVR",238,22.2,2.16,210,268,92.2,93.8,95.8,14,10,12,7,"3",18.8,41.4,28
"15","Jalen Hurts","QB","PHI",419,19.9,36.7,388,437,90.9,84.9,92.8,15,16,16,3,"2",20.7,36.4,6
"16","Bijan Robinson","RB","ATL",236,20.3,5.96,213,267,90.1,96.6,95.2,16,8,13,8,"3",8.58,61.3,10
"17","Jonathan Taylor","RB","IND",230,23.5,16.1,199,260,84.1,82.1,87.6,17,17,17,9,"4",22.4,39.5,34
"18","CeeDee Lamb","WR","DAL",241,27.8,2.98,205,272,83,69.2,93,18,21,15,5,"2",16,43.9,55
"19","Davante Adams","WR","LVR",238,21.6,6.31,204,265,80.1,68.5,85.1,19,22,20,6,"2",17,45.4,30
"20","Stefon Diggs","WR","BUF",231,19.1,13.8,212,262,73.8,76.8,82.6,20,19,22,7,"3",12.9,49.1,13
"21","Joe Mixon","RB","CIN",214,23.7,3.91,195,257,68,78.8,85.3,21,18,19,10,"4",31.1,32.5,44
"22","Mark Andrews","TE","BAL",173,14.6,17.3,155,191,64.7,57.8,54.8,22,27,34,2,"2",32.9,26.5,14
"23","Aaron Jones","RB","GB",210,16.6,2.15,189,233,64.1,72.9,60.7,23,20,29,11,"4",36.7,28.4,13
"24","Najee Harris","RB","PIT",208,26.7,3.77,164,240,61.9,47.5,68,24,32,25,12,"4",29.6,31.3,59
"25","A.J. Brown","WR","PHI",218,29,1.37,183,264,60,47.3,85,25,33,21,8,"3",15.9,42.8,69
"26","Amon-Ra St. Brown","WR","DET",216,15.6,7.45,199,236,58.6,63.7,56.2,26,24,32,9,"4",21,40.1,1
"27","Rhamondre Stevenson","RB","NE",204,24,4.05,177,233,58.2,60.8,61.4,27,26,28,13,"5",33.1,26.6,35
"28","Joe Burrow","QB","CIN",382,23,7.93,352,413,54.2,49.7,68.5,28,31,24,4,"2",36.3,25,20
"29","Travis Etienne","RB","JAC",200,17.2,0.451,178,224,54.1,61.2,52.5,29,25,37,14,"5",31.2,29.3,7
"30","Kenneth Walker III","RB","SEA",200,25.1,7.16,168,239,53.7,51.1,67.1,30,30,26,15,"5",44.4,18.8,55
"31","Garrett Wilson","WR","NYJ",209,24.3,2.64,182,253,51.2,46.4,74.1,31,34,23,10,"4",20.2,39.4,44
"32","Jaylen Waddle","WR","MIA",206,18.8,10.6,179,226,48.5,43.4,46.7,32,36,41,11,"4",26,33.8,14
"33","T.J. Hockenson","TE","MIN",156,12.7,3.53,138,172,47.4,40.9,35.8,33,39,50,3,"2",48.8,17.9,23
"34","Alexander Mattison","RB","MIN",193,16.8,0.644,173,215,46.5,56.1,43.4,34,29,44,16,"5",57.7,17.3,23
"35","Lamar Jackson","QB","BAL",374,19.4,10.8,345,405,46.3,42.3,60.1,35,37,30,5,"3",35.6,27,17
"36","James Conner","RB","ARI",192,13.7,1.23,180,210,45.8,63.8,38.1,36,23,46,17,"5",61,15.7,3
"37","Dameon Pierce","RB","HOU",191,22,1.7,174,234,44.6,57.3,61.8,37,28,27,18,"5",47.1,18.3,42
"38","George Kittle","TE","SF",152,18.7,6.01,132,180,43.9,35,44.2,38,50,42,4,"3",51.8,16.3,49
"39","Jahmyr Gibbs","RB","DET",189,19.2,0.834,158,210,42.9,41.5,38.3,39,38,45,19,"5",34.6,33.9,21
"40","Miles Sanders","RB","CAR",188,27.6,4.1,157,227,42.1,40.2,55.5,40,41,33,20,"6",53.9,16.5,65
"41","J.K. Dobbins","RB","BAL",184,28.5,1.57,154,226,38,37.9,53.7,41,48,36,21,"6",56.9,15.1,69
"42","Deebo Samuel","WR","SF",195,21.3,0.366,174,227,37.9,38.1,47.8,42,47,40,12,"4",37.6,23.2,48
"43","Darren Waller","TE","NYG",146,10.5,10.6,136,162,37.9,38.2,26.1,43,46,60,5,"3",56.1,14.8,9
"44","Chris Olave","WR","NO",195,19.7,0.098,171,227,37.6,35.4,48,44,49,39,13,"4",30.4,31.2,21
"45","Tee Higgins","WR","CIN",195,16.3,2.32,174,216,37.5,38.4,36.8,45,45,48,14,"4",33.5,27.7,10
"46","Breece Hall","RB","NYJ",183,18.5,0.127,161,210,36.4,44.5,38,46,35,47,22,"6",45.2,21.6,27
"47","Rachaad White","RB","TB",183,21.7,7.82,148,207,36.3,31.3,35.5,47,54,51,23,"6",72,12,38
"48","Justin Herbert","QB","LAC",363,21.6,13.7,342,401,35.5,39.5,56.9,48,42,31,6,"3",44.8,20.2,23
"49","DeVonta Smith","WR","PHI",193,21.8,0.588,175,233,35.1,38.9,53.9,49,43,35,15,"4",31.8,27.7,39
"50","DK Metcalf","WR","SEA",192,19.7,1.11,162,216,34.6,26.2,36.3,50,60,49,16,"4",36.5,26.8,25
"51","Amari Cooper","WR","CLE",191,18.6,0.235,170,224,33.4,34.5,44.2,51,51,43,17,"4",42.3,21.2,20
"52","Christian Watson","WR","GB",191,15.3,0.317,174,214,33.2,38.6,34.6,52,44,52,18,"5",55.8,13.4,17
"53","Jalen Pitre","DB","HOU",138,7.93,27.1,131,146,33,40.3,21.4,53,40,66,1,"1",NA,10.4,13
"54","Calvin Ridley","WR","JAC",190,18.3,5.47,167,212,32.9,31.7,32.4,54,53,54,19,"5",36.6,24.7,28
"55","Cam Akers","RB","LAR",175,20.2,2.21,141,203,28.5,25,30.9,55,61,57,24,"6",60.6,14.9,30
"56","Keenan Allen","WR","LAC",185,14.1,5.1,167,202,27.4,31.1,22.3,56,56,65,20,"5",46.8,22.9,3
"57","Dallas Goedert","TE","PHI",136,15.6,0.0602,116,153,27.3,18.8,16.4,57,69,83,6,"3",65.6,10.6,37
"58","Kyle Pitts","TE","ATL",136,7.11,12,129,148,27.3,31.2,12.1,58,55,94,7,"4",65.5,10.5,3
"59","Isiah Pacheco","RB","KC",173,15.4,2.45,147,190,26.2,30.5,18.2,59,57,80,25,"6",70.8,10.2,8
"60","James Cook","RB","BUF",170,17.5,1.87,145,197,23.8,28.1,24.9,60,59,61,26,"6",73.3,11.8,20
"61","Mike Evans","WR","TB",180,24.1,0.0649,151,211,22.3,15.2,31.3,61,73,55,21,"5",76.2,12.9,62
"62","Terry McLaurin","WR","WAS",180,27.5,0.408,153,229,22.3,17.5,49.4,62,71,38,22,"5",60,13,76
"63","Javonte Williams","RB","DEN",168,32.9,0.722,128,203,21.9,11.3,31,63,86,56,27,"6",72,13,79
"64","Mike Williams","WR","LAC",179,20.5,2.48,150,213,21.8,14.4,33.5,64,76,53,23,"5",67.9,11.6,49
"65","Justin Fields","QB","CHI",350,14.8,10.3,331,374,21.7,28.3,29.5,65,58,58,7,"4",46.9,18.7,9
"66","David Montgomery","RB","DET",167,16.1,3.9,150,188,21.2,33.2,16.4,66,52,84,28,"7",77.3,10.7,11
"67","Foyesade Oluokun","LB","JAC",143,33.6,3.27,124,181,20,22.5,18.2,67,66,79,1,"1",NA,18.5,49
"68","D.J. Moore","WR","CHI",177,13.5,0.689,160,200,19.4,24.4,20.2,68,62,72,24,"5",52,15.7,7
"69","Christian Kirk","WR","JAC",176,18.4,1.18,156,206,18.7,20.6,26.6,69,67,59,25,"5",76.4,9.34,37
"70","Chris Godwin","WR","TB",175,19.3,0.638,151,203,17.5,15.8,23.2,70,72,64,26,"5",75.9,11.7,35
"71","Alvin Kamara","RB","NO",164,14.4,5.44,139,178,17.3,22.7,6.07,71,65,107,29,"7",69.4,17.2,15
"72","DeAndre Hopkins","WR","TEN",174,13.1,3.45,159,194,16.9,23.8,14.3,72,63,88,27,"6",57.6,16.5,6
"73","Roquan Smith","LB","BAL",139,36,5.1,116,180,16.7,14.9,17.6,73,74,82,2,"1",NA,16.2,57
"74","Evan Engram","TE","JAC",124,8.17,2.14,116,138,15.3,18.5,2.07,74,70,120,8,"5",84.3,6.76,1
"75","Tyler Lockett","WR","SEA",171,23.1,4.96,148,203,13.4,12.4,23.8,76,81,62,28,"6",70.1,11.5,54
"76","Maxx Crosby","DL","LVR",88,20.4,3.16,75.1,111,13.4,6.51,20.5,75,102,70,1,"1",NA,12.4,80
